"","activityname","subject","mean","n"
"1","LAYING",1,-0.681581978523055,3300
"2","LAYING",2,-0.743126753233842,3168
"3","LAYING",3,-0.734347688677236,4092
"4","LAYING",4,-0.728668034663377,3564
"5","LAYING",5,-0.739085358855865,3432
"6","LAYING",6,-0.714481502407656,3762
"7","LAYING",7,-0.723857064735047,3432
"8","LAYING",8,-0.722406520353446,3564
"9","LAYING",9,-0.726146510489097,3300
"10","LAYING",10,-0.751454042087244,3828
"11","LAYING",11,-0.739250481303299,3762
"12","LAYING",12,-0.72760644728624,3960
"13","LAYING",13,-0.731168410513377,4092
"14","LAYING",14,-0.706780359580511,3366
"15","LAYING",15,-0.732694054370465,4752
"16","LAYING",16,-0.743287358888657,4620
"17","LAYING",17,-0.731324690617382,4686
"18","LAYING",18,-0.746133039821382,4290
"19","LAYING",19,-0.742143249540819,5478
"20","LAYING",20,-0.737847526254904,4488
"21","LAYING",21,-0.729316795500066,5940
"22","LAYING",22,-0.718920180798411,4752
"23","LAYING",23,-0.738453366680006,4752
"24","LAYING",24,-0.738162801094621,4752
"25","LAYING",25,-0.6550466559966,4818
"26","LAYING",26,-0.744683873718817,5016
"27","LAYING",27,-0.747039773104429,4884
"28","LAYING",28,-0.749711337306598,5280
"29","LAYING",29,-0.747047283845479,4554
"30","LAYING",30,-0.73371945664569,4620
"31","SITTING",1,-0.725010256710861,3102
"32","SITTING",2,-0.737361985616243,3036
"33","SITTING",3,-0.707845449974583,3432
"34","SITTING",4,-0.717843420704141,3300
"35","SITTING",5,-0.71816250875378,2904
"36","SITTING",6,-0.7166252231237,3630
"37","SITTING",7,-0.712354376735631,3168
"38","SITTING",8,-0.72745694109493,3036
"39","SITTING",9,-0.704523755500333,3300
"40","SITTING",10,-0.73712845579557,3564
"41","SITTING",11,-0.730213416461106,3498
"42","SITTING",12,-0.727919507003818,3366
"43","SITTING",13,-0.735239423441511,3234
"44","SITTING",14,-0.730278809106672,3564
"45","SITTING",15,-0.733838697315558,3894
"46","SITTING",16,-0.734763414612203,4554
"47","SITTING",17,-0.747004627057666,4224
"48","SITTING",18,-0.743850843467203,3762
"49","SITTING",19,-0.728175891288928,4818
"50","SITTING",20,-0.726102407642704,4356
"51","SITTING",21,-0.743125990670937,5610
"52","SITTING",22,-0.720164924412542,4092
"53","SITTING",23,-0.726113491116866,4488
"54","SITTING",24,-0.737144249115584,4488
"55","SITTING",25,-0.737614646951336,4290
"56","SITTING",26,-0.732209186814351,5148
"57","SITTING",27,-0.738607565821911,4620
"58","SITTING",28,-0.731041115599865,4752
"59","SITTING",29,-0.739022156685121,3960
"60","SITTING",30,-0.732058477455571,4092
"61","STANDING",1,-0.751886863913404,3498
"62","STANDING",2,-0.739970261016944,3564
"63","STANDING",3,-0.712068206745217,4026
"64","STANDING",4,-0.705320467661402,3696
"65","STANDING",5,-0.698248943096751,3696
"66","STANDING",6,-0.723169679977658,3762
"67","STANDING",7,-0.725824852727622,3498
"68","STANDING",8,-0.735324128855415,3564
"69","STANDING",9,-0.719415113824515,2970
"70","STANDING",10,-0.721542732014904,2904
"71","STANDING",11,-0.747503181881309,3102
"72","STANDING",12,-0.719351505561252,4026
"73","STANDING",13,-0.742391626905495,3762
"74","STANDING",14,-0.733750919831609,3960
"75","STANDING",15,-0.733951795404,3498
"76","STANDING",16,-0.744597444550344,5148
"77","STANDING",17,-0.753476669240357,5148
"78","STANDING",18,-0.744424330919073,4818
"79","STANDING",19,-0.73554803643265,4818
"80","STANDING",20,-0.703585407231564,4818
"81","STANDING",21,-0.740332493442983,5874
"82","STANDING",22,-0.726785296080127,4158
"83","STANDING",23,-0.735074230891955,4488
"84","STANDING",24,-0.734420049761198,4554
"85","STANDING",25,-0.739256665905592,4884
"86","STANDING",26,-0.740410224586124,4884
"87","STANDING",27,-0.743828559458429,5280
"88","STANDING",28,-0.712417065277087,5214
"89","STANDING",29,-0.746979641390065,4290
"90","STANDING",30,-0.714291901922109,3894
"91","WALKING",1,-0.193204572492262,6270
"92","WALKING",2,-0.32544820638322,3894
"93","WALKING",3,-0.317947801074047,3828
"94","WALKING",4,-0.392128132692634,3960
"95","WALKING",5,-0.290846535887125,3696
"96","WALKING",6,-0.231135633132547,3762
"97","WALKING",7,-0.184567020446338,3762
"98","WALKING",8,-0.16056841343373,3168
"99","WALKING",9,-0.286806225658878,3432
"100","WALKING",10,-0.207316119201447,3498
"101","WALKING",11,-0.379016958409591,3894
"102","WALKING",12,-0.256034499452433,3300
"103","WALKING",13,-0.210988794167055,3762
"104","WALKING",14,-0.288349500486322,3894
"105","WALKING",15,-0.306114313281622,3564
"106","WALKING",16,-0.383138718688577,3366
"107","WALKING",17,-0.309280113929322,4026
"108","WALKING",18,-0.394478845416299,3696
"109","WALKING",19,-0.0739875703910806,3432
"110","WALKING",20,-0.0954032717082775,3366
"111","WALKING",21,-0.239612750488894,3432
"112","WALKING",22,-0.161843378710114,3036
"113","WALKING",23,-0.0969339947223061,3894
"114","WALKING",24,-0.356957437224817,3828
"115","WALKING",25,-0.42015627084922,4884
"116","WALKING",26,-0.318740418835688,3894
"117","WALKING",27,-0.315300610673124,3762
"118","WALKING",28,-0.313871992811888,3564
"119","WALKING",29,-0.256846692509308,3498
"120","WALKING",30,-0.267020565167016,4290
"121","WALKING_DOWNSTAIRS",1,-0.149358035365099,3234
"122","WALKING_DOWNSTAIRS",2,-0.106411521321941,3102
"123","WALKING_DOWNSTAIRS",3,-0.232708366871836,3234
"124","WALKING_DOWNSTAIRS",4,-0.281840698460603,2970
"125","WALKING_DOWNSTAIRS",5,-0.149721994636294,3102
"126","WALKING_DOWNSTAIRS",6,-0.000804104618582071,3168
"127","WALKING_DOWNSTAIRS",7,-0.164658253921528,3102
"128","WALKING_DOWNSTAIRS",8,-0.00103612319688198,2508
"129","WALKING_DOWNSTAIRS",9,-0.162548480947928,2772
"130","WALKING_DOWNSTAIRS",10,-0.108732322835411,2508
"131","WALKING_DOWNSTAIRS",11,-0.220718087092131,3036
"132","WALKING_DOWNSTAIRS",12,-0.179277771565335,3036
"133","WALKING_DOWNSTAIRS",13,-0.170802030677804,3102
"134","WALKING_DOWNSTAIRS",14,0.00341910027488552,2970
"135","WALKING_DOWNSTAIRS",15,-0.114055542511411,2772
"136","WALKING_DOWNSTAIRS",16,-0.21577265313244,3102
"137","WALKING_DOWNSTAIRS",17,-0.233445826587078,3036
"138","WALKING_DOWNSTAIRS",18,-0.377526737575512,3630
"139","WALKING_DOWNSTAIRS",19,0.154941520892261,2574
"140","WALKING_DOWNSTAIRS",20,-0.0458055951405788,2970
"141","WALKING_DOWNSTAIRS",21,-0.139645365609202,2970
"142","WALKING_DOWNSTAIRS",22,-0.147381918801591,2376
"143","WALKING_DOWNSTAIRS",23,-0.00547247287462682,3564
"144","WALKING_DOWNSTAIRS",24,-0.241425533951455,3630
"145","WALKING_DOWNSTAIRS",25,-0.345951992614543,3828
"146","WALKING_DOWNSTAIRS",26,-0.175493103647397,3300
"147","WALKING_DOWNSTAIRS",27,-0.180615867943192,2904
"148","WALKING_DOWNSTAIRS",28,-0.139396563077246,3036
"149","WALKING_DOWNSTAIRS",29,-0.178812689061223,3168
"150","WALKING_DOWNSTAIRS",30,-0.217523391374438,4092
"151","WALKING_UPSTAIRS",1,-0.315336808393305,3498
"152","WALKING_UPSTAIRS",2,-0.27094863788048,3168
"153","WALKING_UPSTAIRS",3,-0.358357567758965,3894
"154","WALKING_UPSTAIRS",4,-0.341355950186464,3432
"155","WALKING_UPSTAIRS",5,-0.244346694233246,3102
"156","WALKING_UPSTAIRS",6,-0.189984813956898,3366
"157","WALKING_UPSTAIRS",7,-0.362851021783283,3366
"158","WALKING_UPSTAIRS",8,-0.146879782054871,2706
"159","WALKING_UPSTAIRS",9,-0.352322249173958,3234
"160","WALKING_UPSTAIRS",10,-0.214657479004489,3102
"161","WALKING_UPSTAIRS",11,-0.370962843516591,3564
"162","WALKING_UPSTAIRS",12,-0.354006222470134,3432
"163","WALKING_UPSTAIRS",13,-0.330641118753785,3630
"164","WALKING_UPSTAIRS",14,-0.111119139268373,3564
"165","WALKING_UPSTAIRS",15,-0.294341669544798,3168
"166","WALKING_UPSTAIRS",16,-0.382992324573922,3366
"167","WALKING_UPSTAIRS",17,-0.302507349895375,3168
"168","WALKING_UPSTAIRS",18,-0.42646923228292,3828
"169","WALKING_UPSTAIRS",19,-0.196891295749223,2640
"170","WALKING_UPSTAIRS",20,-0.205762872215166,3366
"171","WALKING_UPSTAIRS",21,-0.298692900152311,3102
"172","WALKING_UPSTAIRS",22,-0.191712185339628,2772
"173","WALKING_UPSTAIRS",23,-0.25943590535943,3366
"174","WALKING_UPSTAIRS",24,-0.362618588027219,3894
"175","WALKING_UPSTAIRS",25,-0.435418743421543,4290
"176","WALKING_UPSTAIRS",26,-0.330337988544182,3630
"177","WALKING_UPSTAIRS",27,-0.368009684288904,3366
"178","WALKING_UPSTAIRS",28,-0.323401541369843,3366
"179","WALKING_UPSTAIRS",29,-0.231956730511577,3234
"180","WALKING_UPSTAIRS",30,-0.33891298828135,4290
